"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPS"
"4","GTLM","Oliver Gavin","3","2:14.139","5:11.614","Yellow","Track","0.923","11.689","5.384","5.220","14.347","12.246","10.791","9.667","24.038","24.213","3.205","12.416","89.382"
"66","GTLM","Sebastien Bourdais","3","2:14.958","5:13.065","Yellow","Track","0.877","11.878","5.635","5.369","14.278","11.871","12.286","8.642","23.827","24.031","3.196","13.068","94.071"
"3","GTLM","Antonio Garcia","3","2:14.522","5:14.405","Yellow","Track","0.864","11.031","5.517","5.757","14.163","11.552","12.125","9.432","24.093","23.482","3.149","13.357","95.486"
"25","GTLM","Tom Blomqvist","3","2:14.447","5:15.324","Yellow","Track","0.888","11.189","5.391","5.648","13.863","12.002","12.869","8.519","24.348","23.217","3.238","13.275","92.905"
"24","GTLM","John Edwards","3","2:14.286","5:16.495","Yellow","Track","0.982","10.843","5.217","5.650","14.183","11.522","13.000","8.493","24.612","23.178","3.066","13.540","84.012"
"67","GTLM","Ryan Briscoe","3","2:14.209","5:17.618","Yellow","Track","0.954","11.601","4.993","5.515","13.928","11.247","13.090","8.692","25.491","22.195","2.650","13.853","86.478"
"55","DPi","Jonathan Bomarito","3","2:06.319","5:18.562","Yellow","Track","0.571","6.727","4.192","4.628","12.757","11.763","12.963","8.551","25.873","22.099","2.591","13.604","144.483"
"7","DPi","Helio Castroneves","4","2:17.114","7:13.881","Yellow","Track","1.331","16.158","7.267","6.307","16.282","12.229","11.940","8.184","19.713","25.482","2.307","9.914","61.983"
"31","DPi","Felipe Nasr","4","2:16.363","7:14.792","Yellow","Track","1.412","16.763","6.031","6.613","15.672","12.279","12.349","8.637","19.817","24.723","2.590","9.477","58.428"
"77","DPi","Tristan Nunez","4","2:16.306","7:15.371","Yellow","Track","1.321","16.651","6.326","6.607","15.696","12.161","12.649","8.379","19.784","24.826","2.561","9.345","62.453"
"10","DPi","Jordan Taylor","4","2:17.972","7:18.223","Yellow","Track","1.296","17.504","5.844","6.151","15.514","12.699","12.334","8.555","20.941","23.178","3.175","10.781","63.657"
"6","DPi","Juan Pablo Montoya","4","2:18.162","7:19.376","Yellow","Track","1.234","17.380","6.162","6.181","15.523","12.635","11.951","8.980","20.819","23.541","2.845","10.911","66.856"
"84","DPi","Simon Trummer","4","2:18.051","7:19.998","Yellow","Track","1.232","17.275","6.396","6.068","15.468","12.831","12.303","8.581","20.971","23.608","2.833","10.485","66.964"
"85","DPi","Misha Goikhberg","4","2:17.715","7:20.588","Yellow","Track","1.343","17.284","6.697","5.604","15.518","12.718","12.241","8.569","21.282","23.242","2.869","10.348","61.430"
"5","DPi","Joao Barbosa","4","2:17.567","7:21.712","Yellow","Track","1.297","16.762","6.714","5.715","15.818","12.511","12.257","8.552","22.013","22.525","2.682","10.721","63.608"
"50","DPi","Kyle Kaiser","4","2:18.106","7:23.577","Yellow","Track","1.194","17.121","6.450","5.511","15.980","12.561","12.379","8.481","22.268","22.880","2.530","10.751","69.095"
"911","GTLM","Nick Tandy","4","2:17.139","7:25.342","Yellow","Track","1.195","16.198","7.722","6.674","14.248","12.359","11.374","8.223","23.783","24.499","2.286","8.578","69.038"
"912","GTLM","Laurens Vanthoor","4","2:17.696","7:26.760","Yellow","Track","1.310","16.491","7.298","6.431","14.413","13.124","11.040","8.363","23.147","24.334","2.593","9.152","62.977"
"4","GTLM","Oliver Gavin","4","2:17.428","7:29.042","Yellow","Track","1.361","17.433","5.241","6.167","14.620","13.459","10.593","8.776","23.288","23.854","2.028","10.608","60.617"
"66","GTLM","Sebastien Bourdais","4","2:17.032","7:30.097","Yellow","Track","1.232","17.032","5.611","6.018","14.408","13.977","10.347","8.405","23.593","23.732","1.944","10.733","66.964"
"3","GTLM","Antonio Garcia","4","2:17.089","7:31.494","Yellow","Track","1.187","17.359","6.990","5.527","14.615","12.464","10.873","8.355","23.205","23.878","2.079","10.557","69.503"
"55","DPi","Jonathan Bomarito","4","2:14.428","7:32.990","Yellow","Track","1.227","18.340","7.283","5.338","13.694","12.089","10.784","8.727","24.186","23.491","1.879","7.390","67.237"
"25","GTLM","Tom Blomqvist","4","2:17.774","7:33.098","Yellow","Track","1.291","16.878","7.473","5.413","14.623","12.938","10.322","8.607","22.965","24.272","2.012","10.980","63.904"
"24","GTLM","John Edwards","4","2:17.343","7:33.838","Yellow","Track","1.353","16.467","7.308","5.808","15.178","12.101","10.678","8.547","22.929","24.462","2.289","10.223","60.976"
"67","GTLM","Ryan Briscoe","4","2:17.060","7:34.678","Yellow","Track","1.312","17.239","7.757","5.609","14.008","12.057","10.783","8.853","23.485","23.796","2.166","9.995","62.881"
"7","DPi","Helio Castroneves","5","2:16.646","9:30.527","Yellow","Track","1.314","17.155","7.025","5.852","16.458","13.508","10.136","7.222","19.501","25.076","2.959","10.440","62.785"
"31","DPi","Felipe Nasr","5","2:17.190","9:31.982","Yellow","Track","1.327","18.376","7.669","5.445","15.461","12.996","10.159","7.854","19.164","24.592","3.186","10.961","62.170"
"77","DPi","Tristan Nunez","5","2:17.310","9:32.681","Yellow","Track","1.259","18.404","7.828","5.500","15.781","12.440","10.267","7.921","19.058","24.766","3.009","11.077","65.528"
"10","DPi","Jordan Taylor","5","2:16.408","9:34.631","Yellow","Track","1.337","16.641","8.672","4.973","15.174","13.074","9.700","8.037","19.755","24.675","2.902","11.468","61.705"
"6","DPi","Juan Pablo Montoya","5","2:16.130","9:35.506","Yellow","Track","1.509","16.586","8.673","5.248","14.849","13.654","9.289","7.607","19.926","24.519","2.962","11.308","54.672"
"84","DPi","Simon Trummer","5","2:16.124","9:36.122","Yellow","Track","1.550","16.590","8.994","5.281","14.754","13.559","9.244","7.523","20.058","24.552","2.811","11.208","53.226"
"85","DPi","Misha Goikhberg","5","2:16.380","9:36.968","Yellow","Track","1.524","17.129","8.754","5.115","14.997","13.311","9.405","7.609","19.978","24.560","2.706","11.292","54.134"
"5","DPi","Joao Barbosa","5","2:16.450","9:38.162","Yellow","Track","1.347","17.438","8.222","5.540","14.927","13.293","9.195","7.840","19.608","24.866","2.657","11.517","61.247"
"50","DPi","Kyle Kaiser","5","2:15.976","9:39.553","Yellow","Track","1.278","17.013","7.880","6.239","14.596","13.145","9.118","7.558","19.991","24.796","2.426","11.936","64.554"
"55","DPi","Jonathan Bomarito","5","2:07.875","9:40.865","Yellow","Track","0.897","11.929","5.271","5.518","14.976","13.123","9.248","7.485","20.360","24.246","2.471","12.351","91.973"
"911","GTLM","Nick Tandy","5","2:17.889","9:43.231","Yellow","Track","1.194","17.992","8.288","5.375","14.922","13.360","9.913","6.954","20.033","24.904","2.524","12.430","69.095"
