"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"50","DPi","Will Owen","9","1:13.861","1:02:04.107","Green","Track","3.855","6.329","3.899","7.865","6.948","1.816","0.489","6.351","13.592","13.465","5.107","4.145","167.317"
"52","LMP2","Eric Lux","8","1:22.646","1:02:09.575","Green","Track","0.000","0.000","4.272","9.084","7.384","1.863","0.496","7.236","15.531","15.085","5.752","4.519","164.956"
"85","DPi","Misha Goikhberg","9","1:14.312","1:02:10.602","Green","Track","3.768","6.079","3.897","8.122","7.128","1.845","0.495","6.387","13.630","13.461","5.323","4.177","165.289"
"5","DPi","Joao Barbosa","9","1:12.922","1:02:12.023","Green","Track","3.732","6.087","3.850","7.702","6.967","1.812","0.487","6.386","13.267","13.361","5.034","4.237","168.004"
"54","DPi","Jonathan Bennett","8","1:18.236","1:02:25.813","Green","Track","3.837","6.742","4.081","8.310","6.873","1.769","0.477","6.759","15.014","14.405","5.670","4.299","171.527"
"31","DPi","Pipo Derani","10","1:21.818","1:02:48.318","Green","Pit","3.731","5.957","3.794","7.761","6.883","1.793","0.483","6.277","13.299","14.147","6.706","10.987","169.396"
"77","DPi","Oliver Jarvis","9","1:10.796","1:02:49.935","Green","Track","3.590","5.852","3.724","7.665","6.695","1.774","0.480","6.072","13.150","12.654","5.153","3.987","170.455"
"7","DPi","Helio Castroneves","10","1:10.988","1:02:54.893","Green","Track","3.656","5.806","3.720","7.593","6.764","1.774","0.478","6.133","13.126","12.823","4.985","4.130","171.168"
"38","LMP2","Kyle Masson","9","1:14.877","1:03:00.019","Green","Track","3.872","6.422","3.959","7.981","7.084","1.838","0.494","6.518","13.764","13.499","5.181","4.265","165.624"
"55","DPi","Ryan Hunter-Reay","9","1:12.326","1:03:00.966","Green","Track","3.663","5.875","3.792","7.832","6.722","1.772","0.478","6.290","13.460","13.003","5.383","4.056","171.168"
"10","DPi","Renger Van Der Zande","10","1:17.575","1:03:07.850","Green","Track","3.769","5.982","3.868","7.884","6.941","1.815","0.489","6.301","13.526","17.110","5.700","4.190","167.317"
"6","DPi","Dane Cameron","10","1:16.737","1:03:08.642","Green","Track","3.631","5.840","3.766","8.048","7.405","1.985","0.535","7.093","15.300","13.962","5.089","4.083","152.931"
"84","DPi","Simon Trummer","10","1:13.243","1:03:10.915","Green","Track","3.744","6.068","3.888","7.697","6.939","1.831","0.494","6.229","13.422","13.392","5.408","4.131","165.624"
"50","DPi","Will Owen","10","1:14.003","1:03:18.110","Green","Track","3.758","6.493","3.930","7.841","7.002","1.826","0.490","6.253","13.566","13.556","5.191","4.097","166.976"
"85","DPi","Misha Goikhberg","10","1:14.507","1:03:25.109","Green","Track","3.855","6.406","3.989","8.240","7.019","1.840","0.495","6.329","13.601","13.307","5.268","4.158","165.289"
"5","DPi","Joao Barbosa","10","1:16.328","1:03:28.351","Green","Track","3.752","6.127","3.862","8.185","6.933","1.808","0.486","6.963","14.798","14.035","5.266","4.113","168.350"
"52","LMP2","Eric Lux","9","1:23.107","1:03:32.682","Green","Track","4.206","6.983","4.469","9.280","7.454","1.856","0.497","7.251","15.439","15.250","5.955","4.467","164.624"
"54","DPi","Jonathan Bennett","9","1:17.321","1:03:43.134","Green","Track","3.765","6.564","3.970","8.196","6.816","1.769","0.477","6.873","14.646","14.360","5.608","4.277","171.527"
"77","DPi","Oliver Jarvis","10","1:10.705","1:04:00.640","Green","Track","3.575","5.857","3.725","7.638","6.712","1.777","0.479","6.124","13.071","12.703","5.015","4.029","170.810"
"7","DPi","Helio Castroneves","11","1:10.727","1:04:05.620","Green","Track","3.654","5.778","3.739","7.603","6.822","1.784","0.480","6.000","13.045","12.773","4.966","4.083","170.455"
"84","DPi","Simon Trummer","11","1:14.670","1:04:25.585","Green","Track","3.736","6.107","3.895","7.866","6.924","1.822","0.491","6.322","14.039","13.977","5.352","4.139","166.636"
"38","LMP2","Kyle Masson","10","1:27.389","1:04:27.408","Green","Pit","3.855","6.297","3.897","8.051","7.138","1.969","0.532","7.190","14.392","14.403","8.010","11.655","153.794"
"6","DPi","Dane Cameron","11","1:21.419","1:04:30.061","Green","Track","3.640","6.530","4.466","8.315","7.049","1.790","0.482","6.634","17.068","16.124","5.196","4.125","169.747"
"50","DPi","Will Owen","11","1:13.433","1:04:31.543","Green","Track","3.801","6.297","3.888","7.849","6.979","1.819","0.489","6.245","13.502","13.319","5.177","4.068","167.317"
"10","DPi","Renger Van Der Zande","11","1:25.125","1:04:32.975","Green","Pit","3.762","6.012","3.834","7.820","6.901","1.811","0.488","6.253","13.247","13.312","7.079","14.606","167.660"
"85","DPi","Misha Goikhberg","11","1:13.570","1:04:38.679","Green","Track","3.779","6.052","3.854","8.188","6.986","1.835","0.494","6.243","13.532","13.299","5.165","4.143","165.624"
"5","DPi","Joao Barbosa","11","1:12.630","1:04:40.981","Green","Track","3.717","6.077","3.852","7.695","6.966","1.815","0.487","6.409","13.290","13.134","5.108","4.080","168.004"
"52","LMP2","Eric Lux","10","1:21.752","1:04:54.434","Green","Track","4.174","7.032","4.237","8.951","7.372","1.856","0.497","7.069","15.304","15.066","0.000","0.000","164.624"
"54","DPi","Jonathan Bennett","10","1:17.964","1:05:01.098","Finish","Track","3.712","6.804","4.013","8.369","6.844","1.769","0.477","6.864","14.795","14.479","5.588","4.250","171.527"
"7","DPi","Helio Castroneves","12","1:10.808","1:05:16.428","Finish","Track","3.634","5.838","3.732","7.572","6.749","1.777","0.477","5.978","13.104","0.000","0.000","4.002","171.527"
"50","DPi","Will Owen","12","1:13.889","1:05:45.432","Finish","Track","3.758","6.273","3.872","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"6","DPi","Dane Cameron","12","1:19.667","1:05:49.728","Finish","Pit","3.678","6.059","3.769","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"85","DPi","Misha Goikhberg","12","1:13.754","1:05:52.433","Finish","Track","3.746","6.198","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"5","DPi","Joao Barbosa","12","1:12.320","1:05:53.301","Finish","Track","3.703","6.035","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"84","DPi","Simon Trummer","12","1:33.139","1:05:58.724","Finish","Pit","3.753","6.060","3.866","7.910","7.293","0.000","0.000","7.990","19.654","0.000","0.000","0.000","0.000"
"52","LMP2","Eric Lux","11","1:22.115","1:06:16.549","Finish","Track","4.164","7.039","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","86.553","0.000"
