"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"4","GTLM","Oliver Gavin","6","1:26.730","9:51.193","Green","Track","4.416","7.789","4.614","9.237","7.851","1.976","0.529","7.783","16.120","15.719","6.009","4.687","154.666"
"31","DPi","Felipe Nasr","6","1:20.665","9:52.498","Green","Track","4.036","6.860","4.116","9.096","7.368","1.851","0.495","7.393","15.084","14.548","5.445","4.373","165.289"
"74","GTD","Lawson Aschenbach","5","1:26.090","9:57.694","Green","Track","4.454","7.869","4.468","9.177","8.091","2.059","0.553","7.285","15.747","15.794","5.863","4.730","147.953"
"57","GTD","Christina Nielsen","6","1:26.661","10:00.427","Green","Track","4.356","7.704","4.366","9.360","8.057","2.021","0.542","7.728","15.863","15.755","6.130","4.779","150.956"
"6","DPi","Juan Pablo Montoya","5","2:12.104","10:06.924","Green","Track","41.452","11.155","5.263","11.224","7.698","1.893","0.565","8.610","17.034","16.344","6.136","4.730","144.811"
"8","GTD","Ryan Dalziel","4","2:04.022","10:10.224","Green","Track","16.840","14.346","6.510","13.117","9.048","2.272","0.708","10.466","19.554","18.840","7.056","5.265","115.562"
"63","GTD","Toni Vilander","6","1:27.085","10:18.476","Green","Track","4.371","7.925","4.498","9.367","8.011","2.029","0.548","7.434","15.925","16.085","6.063","4.829","149.303"
"52","LMP2","Matthew McMurry","5","1:27.594","10:23.103","Green","Track","4.308","7.536","4.628","10.172","7.643","1.885","0.504","7.847","16.370","15.645","6.246","4.810","162.338"
"25","GTLM","Tom Blomqvist","5","1:40.937","10:26.266","Green","Track","14.481","10.170","5.000","9.471","7.921","1.988","0.533","7.915","16.498","16.205","5.960","4.795","153.505"
"66","GTLM","Dirk Mueller","4","2:03.241","10:36.903","Green","Track","33.365","10.312","5.182","10.180","8.067","2.024","0.553","8.732","17.017","16.777","6.102","4.930","147.953"
"76","GTD","Paul Holton","3","3:09.770","10:37.758","Green","Pit","4.666","7.975","5.001","9.850","8.217","2.066","0.555","7.965","16.924","16.994","7.954","101.603","147.420"
"44","GTD","Andy Lally","5","1:30.525","10:41.491","Green","Track","4.522","8.092","4.668","9.536","8.239","2.058","0.551","8.166","16.909","16.712","6.191","4.881","148.490"
"5","DPi","Filipe Albuquerque","5","1:25.582","10:42.417","Green","Track","4.258","7.547","4.676","9.631","7.336","1.856","0.535","7.861","15.599","15.999","5.851","4.433","152.931"
"9","GTD","Zacharie Robichon","5","1:29.539","10:43.801","Green","Track","4.409","7.786","4.987","9.855","8.098","2.052","0.553","7.369","16.328","17.085","6.270","4.747","147.953"
"85","DPi","Tristan Vautier","6","3:01.413","10:44.914","Green","Track","92.315","10.186","5.747","10.730","8.135","2.102","0.590","8.500","16.477","16.319","6.005","4.307","138.675"
"55","DPi","Ryan Hunter-Reay","4","1:56.423","10:47.184","Green","Track","13.844","13.329","6.446","12.125","8.092","1.937","0.603","9.401","18.843","19.253","7.205","5.345","135.685"
"911","GTLM","Nick Tandy","6","1:33.951","10:50.535","Green","Track","4.829","8.623","5.059","10.178","7.941","2.010","0.598","9.241","17.234","16.815","6.463","4.960","136.820"
"33","GTD","Jeroen Bleekemolen","5","1:26.092","10:51.023","Green","Track","4.334","7.718","4.523","9.152","8.123","2.061","0.554","7.563","15.649","15.778","5.905","4.732","147.686"
"38","LMP2","Cameron Cassels","6","1:27.766","10:54.113","Green","Track","4.343","7.543","4.639","9.481","7.664","1.895","0.508","8.046","16.529","16.008","6.150","4.960","161.059"
"12","GTD","Townsend Bell","6","1:27.936","10:55.391","Green","Track","4.474","7.723","4.535","9.361","8.217","2.054","0.552","7.861","16.113","16.122","6.106","4.818","148.221"
"96","GTD","Bill Auberlen","7","1:31.523","10:58.028","Green","Track","4.392","7.833","4.562","9.289","7.731","1.952","0.523","7.983","16.661","17.892","7.965","4.740","156.440"
"48","GTD","Ryan Hardwick","5","2:09.858","11:01.064","Green","Pit","4.578","8.534","4.527","9.536","7.986","2.014","0.541","7.718","16.716","16.831","7.205","43.672","151.235"
"73","GTD","Patrick Long","5","1:26.428","11:01.646","Green","Track","4.410","7.791","4.556","9.271","8.144","2.069","0.556","7.485","15.808","15.783","5.750","4.805","147.155"
"10","DPi","Jordan Taylor","5","1:23.767","11:03.052","Green","Track","4.159","7.251","4.597","9.125","7.382","1.861","0.504","7.925","15.550","15.064","6.001","4.348","162.338"
"912","GTLM","Laurens Vanthoor","6","1:27.407","11:06.485","Green","Track","4.594","7.855","4.695","9.242","7.850","1.992","0.535","7.762","16.177","15.909","5.933","4.863","152.931"
"86","GTD","Mario Farnbacher","7","1:26.910","11:06.765","Green","Track","4.445","7.573","4.661","9.254","7.903","2.008","0.539","7.716","16.074","15.969","5.977","4.791","151.796"
"50","DPi","Kyle Kaiser","7","1:20.211","11:08.060","Green","Track","4.114","6.996","4.143","8.683","7.192","1.834","0.493","7.096","14.687","14.724","5.907","4.342","165.960"
"24","GTLM","John Edwards","7","1:24.109","11:11.386","Green","Track","4.171","7.406","4.465","8.949","7.715","1.964","0.526","7.635","15.498","15.542","5.532","4.706","155.548"
"31","DPi","Felipe Nasr","7","1:19.472","11:11.970","Green","Track","3.899","6.634","4.249","8.652","7.182","1.836","0.494","7.240","15.011","14.578","5.345","4.352","165.624"
"67","GTLM","Richard Westbrook","6","1:24.816","11:15.230","Green","Track","4.290","7.471","4.490","8.788","7.753","1.993","0.533","7.595","15.917","15.542","5.799","4.645","153.505"
"4","GTLM","Oliver Gavin","7","1:25.265","11:16.458","Green","Track","4.254","7.319","4.496","9.235","7.691","1.964","0.526","7.698","15.738","15.750","5.919","4.675","155.548"
"74","GTD","Lawson Aschenbach","6","1:25.092","11:22.786","Green","Track","4.336","7.541","4.417","9.060","7.997","2.060","0.552","7.226","15.550","15.755","5.881","4.717","148.221"
"84","DPi","Simon Trummer","4","2:45.273","11:26.225","Green","Pit","60.591","12.349","6.017","10.667","7.760","2.090","0.680","9.851","18.276","18.949","7.283","10.760","120.321"
"77","DPi","Oliver Jarvis","4","2:13.961","11:26.585","Green","Pit","4.718","8.243","5.502","12.774","8.535","2.101","0.647","10.592","17.704","17.323","7.454","38.368","126.458"
