"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"8","GS","Rodrigo Sales","5","1:33.230","8:47.280","Green","Track","4.852","8.485","4.943","9.491","8.365","2.138","0.573","8.022","17.186","17.472","6.478","5.225","142.789"
"69","GS","Jesse Lazare","4","3:24.077","8:48.328","Green","Pit","4.809","8.018","4.837","8.948","8.314","2.141","0.572","7.644","16.693","17.297","7.709","117.095","143.039"
"60","GS","Nate Stacy","5","1:31.023","8:50.562","Green","Track","4.734","8.375","5.012","9.501","8.380","2.167","0.579","7.957","16.548","16.594","6.171","5.005","141.309"
"61","TCR","Gavin Ernstone","5","1:38.894","9:01.073","Green","Track","5.116","8.780","5.109","10.170","8.653","2.207","0.595","9.685","18.405","18.421","6.574","5.179","137.510"
"23","TCR","Nick Galante","3","3:29.608","9:02.600","Green","Track","108.587","11.500","6.035","11.410","8.897","2.271","0.611","10.529","19.113","18.625","6.820","5.210","133.909"
"97","GS","Rob Ecklin Jr.","5","1:35.070","9:08.585","Green","Track","4.806","8.786","4.945","9.979","8.316","2.111","0.566","8.210","17.835","17.665","6.601","5.250","144.555"
"40","GS","James Pesek","5","1:34.906","9:08.866","Green","Track","4.916","8.552","5.024","9.908","8.491","2.153","0.575","8.235","17.690","17.590","6.635","5.137","142.292"
"88","GS","Henry Schmitt","5","1:34.930","9:09.444","Green","Track","4.989","8.493","5.012","9.972","8.504","2.150","0.574","8.224","17.503","17.663","6.606","5.240","142.540"
"21","TCR","Mason Filippi","5","1:34.724","9:12.783","Green","Track","4.929","8.346","5.330","10.050","8.598","2.224","0.596","8.514","16.911","17.690","6.311","5.225","137.279"
"57","GS","Bryce Ward","5","1:32.063","9:17.041","Green","Track","4.941","8.600","4.848","9.459","8.340","2.120","0.566","7.790","17.105","17.012","6.249","5.033","144.555"
"33","GS","Russell Ward","5","1:32.189","9:17.839","Green","Track","5.028","8.574","5.027","9.783","8.405","2.120","0.569","7.782","16.724","16.936","6.138","5.103","143.793"
"12","TCR","Ryan Nash","4","1:38.113","9:22.850","Green","Track","5.328","8.941","5.382","10.459","8.704","2.218","0.592","8.701","18.026","17.977","6.648","5.137","138.206"
"4","GS","Ted Giovanis","4","1:41.427","9:29.518","Green","Track","5.285","9.258","5.130","10.715","8.743","2.172","0.579","8.460","18.812","19.025","7.164","6.084","141.309"
"71","GS","Frank DePew","5","1:41.154","9:31.499","Green","Track","5.278","9.164","5.133","10.348","8.660","2.158","0.576","8.805","19.120","19.211","6.900","5.801","142.045"
"5","TCR","Roy Block","5","1:38.612","9:33.746","Green","Track","5.187","9.174","5.151","10.228","8.668","2.229","0.598","8.722","18.172","18.294","6.983","5.206","136.820"
"89","TCR","Chad Gilsinger","4","2:54.967","9:33.921","Green","Pit","5.110","9.536","5.346","9.899","8.818","2.278","0.611","8.483","17.436","18.284","8.257","80.909","133.909"
"3","TCR","Mark Kvamme","5","1:38.066","9:34.705","Green","Track","5.173","9.076","5.288","10.580","8.643","2.224","0.599","8.464","18.243","17.856","6.673","5.247","136.591"
"59","GS","Rod Randall","5","1:35.653","9:34.906","Green","Track","4.961","8.447","5.283","10.338","8.585","2.159","0.576","8.224","17.570","17.870","6.555","5.085","142.045"
"98","TCR","Mark Wilkins","5","1:43.544","9:37.034","Green","Track","6.172","10.773","8.638","10.612","9.291","2.398","0.638","8.471","17.204","17.560","6.641","5.146","128.242"
"65","GS","Brent Mosing","5","1:34.106","9:38.738","Green","Track","4.928","8.486","4.982","9.473","8.334","2.125","0.568","8.019","17.579","17.911","6.448","5.253","144.046"
"52","TCR","Colin Mullan","5","1:45.341","9:39.056","Green","Pit","5.114","8.300","5.195","10.217","8.737","2.257","0.605","8.666","17.788","18.732","8.833","10.897","135.237"
"7","GS","Alan Brynjolfsson","6","1:31.711","9:39.163","Green","Track","4.798","8.083","4.870","9.556","8.414","2.155","0.574","8.412","16.666","16.856","6.341","4.986","142.540"
"31","GS","Jeff Courtney","5","1:34.829","9:41.640","Green","Track","4.863","8.470","5.077","10.099","8.441","2.127","0.568","8.306","17.724","17.603","6.390","5.161","144.046"
"13","GS","Orey Fidani","5","1:46.750","9:47.387","Green","Track","14.151","10.940","5.572","10.051","8.407","2.125","0.567","8.134","17.969","17.466","6.257","5.111","144.300"
"46","GS","Hugh Plumb","5","1:46.569","9:52.484","Green","Pit","4.917","8.585","5.118","9.839","8.457","2.134","0.571","8.898","19.024","18.462","8.973","11.591","143.289"
"96","GS","Robby Foley","5","1:30.557","9:52.812","Green","Track","4.742","8.109","4.891","9.287","8.273","2.130","0.574","7.850","16.622","16.873","6.170","5.036","142.540"
"35","GS","James Cox","5","1:32.145","9:55.345","Green","Track","4.734","8.191","4.790","0.000","0.000","2.114","0.565","8.097","17.422","17.189","6.093","5.180","144.811"
"73","TCR","Mat Pombo","5","1:49.427","9:57.979","Green","Track","5.011","10.035","5.402","9.684","8.780","2.269","0.608","7.916","30.165","17.942","6.555","5.060","134.569"
"54","TCR","Michael Johnson","5","1:36.741","10:05.557","Green","Track","5.035","8.968","5.153","9.794","8.610","2.218","0.594","8.817","17.662","18.187","6.544","5.159","137.741"
"56","GS","Jeff Mosing","6","1:31.442","10:05.851","Green","Track","4.731","7.960","4.847","8.895","8.293","2.119","0.565","7.926","16.874","17.709","6.476","5.047","144.811"
"2","GS","Kenton Koch","5","2:26.249","10:08.213","Green","Pit","4.669","8.019","4.825","0.000","0.000","2.150","0.575","7.855","16.257","17.572","7.640","59.062","142.292"
"81","TCR","Marco Cirone","6","1:37.947","10:08.896","Green","Track","5.034","8.391","5.089","9.554","8.657","2.232","0.596","8.490","19.413","18.819","6.464","5.208","137.279"
"39","GS","Tyler McQuarrie","6","1:29.392","10:10.538","Green","Track","4.681","8.045","4.755","0.000","0.000","2.129","0.565","7.575","16.587","16.651","6.002","5.039","144.811"
"8","GS","Rodrigo Sales","6","1:32.604","10:19.884","Green","Track","4.731","8.660","4.926","9.492","8.426","2.151","0.575","7.769","17.058","17.325","6.275","5.216","142.292"
"82","GS","James Clay","6","1:37.518","10:20.113","Green","Pit","4.701","7.939","4.816","8.952","8.227","2.109","0.565","7.903","16.500","16.642","6.931","12.233","144.811"
"61","TCR","Gavin Ernstone","6","1:35.984","10:37.057","Green","Track","5.207","8.943","5.109","9.713","8.661","2.226","0.595","7.967","17.686","18.068","6.585","5.224","137.510"
"69","GS","Corey Fergus","5","1:48.863","10:37.191","Green","Track","16.811","11.626","5.647","10.059","8.514","2.144","0.571","8.174","16.998","17.012","6.282","5.025","143.289"
"23","TCR","Nick Galante","4","1:36.958","10:39.558","Green","Track","5.129","8.882","5.470","10.180","8.885","2.267","0.603","8.641","17.372","17.670","6.677","5.182","135.685"
"97","GS","Rob Ecklin Jr.","6","1:35.229","10:43.814","Green","Track","4.745","8.876","4.969","10.042","8.295","2.102","0.562","8.424","17.843","17.584","6.505","5.282","145.584"
"88","GS","Henry Schmitt","6","1:35.323","10:44.767","Green","Track","4.820","8.493","5.174","10.014","8.411","2.146","0.575","8.195","17.668","17.731","6.779","5.317","142.292"
"21","TCR","Mason Filippi","6","1:33.105","10:45.888","Green","Track","4.902","8.214","5.223","9.755","8.563","2.215","0.593","8.240","16.643","17.516","6.117","5.124","137.973"
"33","GS","Russell Ward","6","1:30.994","10:48.833","Green","Track","4.792","8.202","4.913","9.470","8.372","2.118","0.566","7.742","16.675","16.934","6.208","5.002","144.555"
"57","GS","Bryce Ward","6","1:33.373","10:50.414","Green","Track","4.819","8.740","5.617","9.649","8.326","2.104","0.561","7.951","17.207","17.077","6.269","5.053","145.843"
"40","GS","James Pesek","6","1:43.521","10:52.387","Green","Pit","4.857","8.854","5.092","9.826","8.530","2.155","0.577","8.221","17.694","17.710","8.886","11.119","141.799"
"12","TCR","Ryan Nash","5","1:36.850","10:59.700","Green","Track","5.016","8.714","5.506","10.666","8.756","2.225","0.595","8.666","17.591","17.485","6.489","5.141","137.510"
"60","GS","Nate Stacy","6","2:14.785","11:05.347","Green","Pit","4.674","8.017","4.933","9.153","8.319","2.149","0.576","7.891","16.354","16.707","7.044","48.968","142.045"
"4","GS","Ted Giovanis","5","1:40.905","11:10.423","Green","Track","5.357","9.328","5.160","10.828","8.713","2.178","0.582","8.561","18.589","18.963","6.876","5.770","140.581"
"71","GS","Frank DePew","6","1:41.590","11:13.089","Green","Track","5.345","9.881","5.169","10.543","8.676","2.166","0.584","8.961","18.984","18.967","6.740","5.574","140.100"
"3","TCR","Mark Kvamme","6","1:38.861","11:13.566","Green","Track","5.024","9.644","5.292","10.124","8.609","2.218","0.597","8.536","18.182","18.599","6.672","5.364","137.049"
"7","GS","Alan Brynjolfsson","7","1:34.558","11:13.721","Green","Track","4.699","8.377","4.866","9.552","8.429","2.128","0.567","8.509","17.285","18.108","6.798","5.240","144.300"
"65","GS","Brent Mosing","6","1:36.166","11:14.904","Green","Track","4.745","8.536","5.338","9.716","8.397","2.131","0.569","8.586","17.571","18.365","6.872","5.340","143.793"
"59","GS","Rod Randall","6","1:40.915","11:15.821","Green","Track","5.034","9.722","5.540","10.142","8.470","2.144","0.584","9.978","18.441","18.249","6.764","5.847","140.100"
"31","GS","Jeff Courtney","6","1:34.774","11:16.414","Green","Track","4.808","8.426","4.932","9.482","8.420","2.144","0.571","7.986","17.286","17.874","6.971","5.874","143.289"
"5","TCR","Roy Block","6","1:42.725","11:16.471","Green","Track","4.996","8.854","5.057","10.124","8.752","2.231","0.599","9.003","18.789","19.078","7.985","7.257","136.591"
"13","GS","Orey Fidani","6","1:32.385","11:19.772","Green","Track","4.791","8.750","4.855","9.436","8.299","2.123","0.568","7.872","17.054","17.233","6.364","5.040","144.046"
"98","TCR","Mark Wilkins","6","1:44.735","11:21.769","Green","Pit","4.885","8.552","5.170","9.969","8.612","2.192","0.587","8.309","17.965","18.785","8.565","11.144","139.384"
"96","GS","Robby Foley","6","1:30.601","11:23.413","Green","Track","4.718","8.157","4.799","9.170","8.243","2.121","0.570","8.105","16.571","16.908","6.223","5.016","143.541"
