"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"33","GTD","Ben Keating","15","1:43.611","44:12.612","Green","Track","4.810","9.037","5.197","0.000","0.000","2.057","0.550","8.851","20.769","20.286","7.681","5.506","148.760"
"14","GTD","Richard Heistand","17","1:49.983","44:12.963","Green","Pit","5.064","8.912","4.920","10.574","8.110","2.048","0.551","9.234","19.362","21.261","8.879","11.068","148.490"
"52","LMP2","Matthew McMurry","1","44:19.274","44:19.274","Green","Track","14.513","14.866","6.183","11.812","8.871","2.152","0.569","10.197","21.328","21.905","7.718","6.649","143.793"
"73","GTD","Marco Seefried","17","1:46.145","44:22.461","Green","Track","5.336","9.713","5.235","11.862","8.401","2.063","0.564","9.444","19.195","20.590","8.109","5.633","145.068"
"48","GTD","Ryan Hardwick","13","1:52.972","44:28.890","Green","Track","5.328","10.480","6.100","12.384","8.334","2.110","0.601","10.459","21.945","21.262","8.153","5.816","136.137"
"5","DPi","Filipe Albuquerque","7","1:34.557","44:34.036","Green","Track","4.705","8.202","4.841","9.961","7.147","1.830","0.501","8.604","17.934","18.402","7.148","5.282","163.310"
"63","GTD","Cooper MacNeil","16","1:44.846","44:35.541","Green","Track","5.163","9.389","5.167","10.647","7.926","2.024","0.557","9.186","20.226","20.689","7.958","5.914","146.891"
"4","GTLM","Tommy Milner","15","4:41.486","44:36.224","Green","Track","179.118","10.974","6.396","11.229","8.191","2.069","0.635","9.780","19.708","19.847","7.686","5.853","128.848"
"67","GTLM","Richard Westbrook","14","4:34.158","44:47.638","Green","Track","173.646","11.753","5.478","10.679","7.867","2.022","0.607","9.199","19.396","20.074","7.691","5.746","134.791"
"12","GTD","Frank Montecalvo","16","1:39.837","44:55.843","Green","Track","5.139","8.892","4.801","10.297","7.966","2.035","0.546","8.601","18.609","19.164","7.698","6.089","149.850"
"50","DPi","Kyle Kaiser","12","1:37.524","44:56.277","Green","Track","4.859","8.383","5.026","10.089","7.159","1.859","0.552","8.539","18.837","18.742","7.668","5.811","148.221"
"25","GTLM","Connor De Phillippi","16","1:37.515","45:04.391","Green","Track","4.638","8.595","4.805","10.297","7.837","1.989","0.535","8.278","18.481","18.861","7.408","5.791","152.931"
