"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP5"
"8","GS","Rodrigo Sales","3","1:55.836","26:28.506","Green","Track","5.540","10.863","5.948","11.750","8.860","2.257","0.632","10.136","21.938","22.213","8.550","7.149","129.459"
"46","GS","Owen Trinkler","3","2:07.357","26:28.557","Green","Track","6.097","11.568","6.190","13.493","9.591","2.404","0.672","12.017","24.880","24.063","8.822","7.560","121.753"
"35","GS","James Cox","3","1:56.614","26:28.928","Green","Track","5.667","10.040","5.847","0.000","0.000","2.415","0.642","10.459","21.712","22.417","8.915","7.424","127.443"
"97","GS","Rob Ecklin Jr.","3","1:55.691","26:29.141","Green","Track","5.556","10.321","5.673","12.160","8.788","2.250","0.659","10.722","22.050","21.473","8.775","7.264","124.155"
"31","GS","Jeff Courtney","3","1:56.533","26:36.508","Green","Track","5.666","10.980","5.969","11.994","9.160","2.342","0.672","10.923","22.589","21.505","7.922","6.811","121.753"
"56","GS","Jeff Mosing","3","1:49.106","26:38.002","Green","Track","5.272","9.888","5.366","11.144","8.817","2.180","0.599","9.761","20.575","21.884","7.460","6.160","136.591"
"40","GS","James Pesek","3","1:58.569","26:39.715","Green","Track","5.824","10.390","5.646","12.348","9.191","2.384","0.680","10.683","23.248","22.516","8.647","7.012","120.321"
"39","GS","Tyler McQuarrie","3","2:02.872","26:40.069","Green","Track","5.962","11.822","6.489","0.000","0.000","2.328","0.713","11.230","23.846","22.640","8.966","7.319","114.752"
"13","GS","Orey Fidani","3","1:53.571","26:40.180","Green","Track","5.487","9.759","5.546","11.189","8.720","2.175","0.602","9.900","21.973","22.854","8.484","6.882","135.911"
"59","GS","Rod Randall","2","1:55.585","26:42.636","Green","Track","5.853","10.418","5.743","13.677","9.096","2.230","0.634","10.061","21.944","21.465","8.082","6.382","129.051"
"4","GS","Ted Giovanis","1","26:59.542","26:59.542","Green","Track","0.000","14.759","5.988","13.076","9.253","2.248","0.617","10.824","22.564","22.961","8.806","7.024","132.606"
"65","GS","Brent Mosing","3","1:59.282","27:16.328","Green","Track","6.231","11.327","6.097","12.268","9.457","2.469","0.656","10.678","22.150","23.382","7.875","6.692","124.723"
"2","GS","Kenton Koch","4","1:46.484","27:37.825","Green","Track","5.290","9.281","5.264","0.000","0.000","2.211","0.591","9.707","20.048","19.567","7.581","6.011","138.440"
"82","GS","James Clay","4","1:53.831","27:40.004","Green","Track","5.710","12.014","6.050","11.684","9.255","2.497","0.683","10.055","21.659","20.175","7.974","6.075","119.792"
"60","GS","Nate Stacy","3","1:49.552","27:40.493","Green","Track","5.176","9.411","6.011","12.094","8.920","2.218","0.611","10.462","20.662","20.017","7.886","6.084","133.909"
"75","GS","Paul Holton","4","1:52.133","27:45.631","Green","Track","5.405","9.334","5.226","11.250","8.956","2.222","0.609","9.872","20.616","23.041","9.848","5.754","134.348"
"71","GS","Frank DePew","3","2:03.603","27:48.539","Green","Track","6.200","12.870","6.622","12.515","9.688","2.629","0.730","11.120","22.768","23.279","8.393","6.789","112.080"
"69","GS","Jesse Lazare","4","1:53.933","27:57.264","Green","Track","5.154","9.428","5.376","11.169","8.853","2.210","0.591","9.297","26.589","21.734","7.725","5.807","138.440"
"7","GS","Alan Brynjolfsson","4","1:47.799","27:59.604","Green","Track","5.288","9.757","5.428","11.557","8.701","2.182","0.583","9.682","20.804","20.243","7.513","6.061","140.340"
"96","GS","Robby Foley","4","1:46.553","28:00.674","Green","Track","5.227","9.427","5.375","11.307","8.764","2.196","0.587","9.643","20.283","20.202","7.610","5.932","139.384"
"33","GS","Russell Ward","4","1:55.618","28:10.828","Green","Track","5.261","9.524","5.316","11.270","8.609","2.182","0.643","11.110","23.465","23.587","8.441","6.210","127.244"
"8","GS","Rodrigo Sales","4","1:50.240","28:18.746","Green","Track","5.703","10.381","5.563","11.290","8.787","2.225","0.598","9.460","21.090","21.052","7.759","6.332","136.820"
"35","GS","James Cox","4","1:54.891","28:23.819","Green","Track","6.118","11.533","5.886","0.000","0.000","2.247","0.611","10.218","21.641","21.464","8.226","6.428","133.909"
"97","GS","Rob Ecklin Jr.","4","1:55.170","28:24.311","Green","Track","6.083","11.593","5.810","12.093","8.568","2.177","0.624","10.621","21.732","21.159","7.963","6.747","131.119"
"56","GS","Jeff Mosing","4","1:46.932","28:24.934","Green","Track","5.328","9.555","5.212","11.060","8.826","2.183","0.595","9.518","20.453","20.405","7.556","6.241","137.510"
"31","GS","Jeff Courtney","4","1:51.490","28:27.998","Green","Track","5.551","10.404","5.826","11.762","9.104","2.342","0.617","9.699","21.199","20.831","7.750","6.405","132.606"
"40","GS","James Pesek","4","1:57.446","28:37.161","Green","Track","5.659","10.320","5.441","12.350","9.117","2.458","0.667","11.139","22.876","22.001","8.432","6.986","122.666"
"59","GS","Rod Randall","3","1:55.238","28:37.874","Green","Track","5.503","10.660","5.922","12.868","8.947","2.232","0.633","9.891","22.274","21.282","8.317","6.709","129.255"
"13","GS","Orey Fidani","4","2:08.596","28:48.776","Green","Track","5.766","12.953","8.866","13.960","13.980","3.918","1.075","13.233","21.012","20.390","7.657","5.786","76.110"
"46","GS","Owen Trinkler","4","2:23.232","28:51.789","Green","Pit","6.084","12.349","6.467","14.276","12.081","3.115","0.846","13.470","26.716","25.230","10.589","12.009","96.712"
"39","GS","Tyler McQuarrie","4","2:14.011","28:54.080","Green","Pit","6.366","11.671","6.089","12.609","9.243","2.449","0.766","11.352","23.920","25.211","11.101","13.234","106.812"
"4","GS","Ted Giovanis","2","2:02.097","29:01.639","Green","Track","5.679","11.643","6.361","13.325","9.131","2.227","0.634","11.072","23.088","23.322","8.847","6.768","129.051"
"65","GS","Brent Mosing","4","1:58.908","29:15.236","Green","Track","5.808","10.608","5.706","12.057","9.090","2.339","0.652","11.532","22.761","23.238","8.344","6.773","125.488"
"2","GS","Kenton Koch","5","1:44.181","29:22.006","Green","Track","5.122","9.186","5.120","0.000","0.000","2.173","0.582","9.382","19.881","19.666","7.522","6.067","140.581"
"82","GS","James Clay","5","1:45.882","29:25.886","Green","Track","5.260","9.528","5.168","11.086","8.712","2.173","0.582","9.223","20.329","20.115","7.701","6.005","140.581"
"60","GS","Nate Stacy","4","1:47.149","29:27.642","Green","Track","5.326","9.411","5.414","11.091","8.725","2.201","0.589","10.067","20.331","19.992","7.911","6.091","138.910"
"75","GS","Paul Holton","5","1:46.497","29:32.128","Green","Track","5.279","9.445","5.344","11.225","8.971","2.226","0.594","9.275","20.812","19.855","7.524","5.947","137.741"
"69","GS","Jesse Lazare","5","1:46.013","29:43.277","Green","Track","5.112","9.358","5.288","11.055","8.814","2.214","0.591","9.063","20.959","19.758","7.669","6.132","138.440"
"7","GS","Alan Brynjolfsson","5","1:49.428","29:49.032","Green","Track","5.128","10.852","5.294","11.616","8.744","2.185","0.582","9.822","21.154","20.247","7.626","6.178","140.581"
"96","GS","Robby Foley","5","1:56.766","29:57.440","Green","Track","5.224","9.961","5.443","11.635","8.773","2.193","0.588","9.684","28.785","20.827","7.755","5.898","139.147"
"33","GS","Russell Ward","5","1:47.518","29:58.346","Green","Track","5.473","10.072","5.409","11.203","8.557","2.183","0.611","9.839","20.259","20.321","7.773","5.818","133.909"
"8","GS","Rodrigo Sales","5","1:48.335","30:07.081","Green","Track","5.614","9.833","5.430","11.057","8.635","2.183","0.588","9.661","20.710","20.485","7.656","6.483","139.147"
"71","GS","Frank DePew","4","2:18.707","30:07.246","Green","Track","5.718","27.574","6.379","12.852","9.615","2.654","0.766","11.007","23.723","22.880","8.365","7.174","106.812"
"56","GS","Jeff Mosing","5","1:48.972","30:13.906","Green","Track","5.299","9.949","5.543","11.384","8.696","2.171","0.583","9.637","20.651","20.758","7.797","6.504","140.340"
"35","GS","James Cox","5","1:52.008","30:15.827","Green","Track","5.459","9.956","5.504","0.000","0.000","2.249","0.600","9.949","22.465","21.297","7.929","6.342","136.364"
"97","GS","Rob Ecklin Jr.","5","1:52.021","30:16.332","Green","Track","5.362","10.194","5.434","11.744","8.725","2.271","0.622","10.362","21.770","21.013","8.037","6.487","131.540"
"31","GS","Jeff Courtney","5","1:49.699","30:17.697","Green","Track","5.370","10.097","5.479","11.193","8.805","2.229","0.598","9.682","21.297","20.792","7.739","6.418","136.820"
